Rank,Title,Gross Earnings,Number of Theaters,Release Date,Distributor
28,The Equalizer 3,92373751,3965,Sep 1,Columbia Pictures
29,The Nun II,86267073,3743,Sep 8,Warner Bros.
30,The Marvels,84479155,4030,Nov 10,Walt Disney Studios Motion Pictures
31,Meg 2: The Trench,82600317,3604,Aug 4,Warner Bros.
32,Insidious: The Red Door,82156962,3188,Jul 7,Screen Gems
33,Aquaman and the Lost Kingdom,76469713,3787,Dec 22,Warner Bros.
34,Blue Beetle,72488072,3871,Aug 18,Warner Bros.
35,Haunted Mansion,67653287,3740,Jul 28,Walt Disney Studios Motion Pictures
36,Killers of the Flower Moon,67292161,3786,Oct 20,Paramount Pictures
37,Evil Dead Rise,67233054,3417,Apr 21,Warner Bros.
38,The Exorcist: Believer,65537395,3684,Oct 6,Universal Pictures
39,PAW Patrol: The Mighty Movie,65231360,4027,Sep 29,Paramount Pictures
40,Cocaine Bear,64670240,3571,Feb 24,Universal Pictures
41,A Man Called Otto,64228358,3957,Dec 30,Columbia Pictures
42,Wish,60609147,3900,Nov 22,Walt Disney Studios Motion Pictures
43,Napoleon,60512228,3500,Nov 22,Columbia Pictures
44,Shazam! Fury of the Gods,57638006,4071,Mar 17,Warner Bros.
45,Migration,54103955,3839,Dec 22,Universal Pictures
46,Saw X,53607898,3262,Sep 29,Lions Gate Films
47,Air,52460106,3507,Apr 5,-
48,Jesus Revolution,52102987,2575,Feb 24,Lions Gate Films
49,No Hard Feelings,50452282,3208,Jun 23,Sony Pictures Entertainment (SPE)
50,Talk to Me,48299436,2379,Jul 28,A24
51,Godzilla Minus One,45580412,2622,Dec 1,-
52,Gran Turismo,44428554,3856,Aug 25,Sony Pictures Entertainment (SPE)
53,The Color Purple,44047642,3218,Dec 25,Warner Bros.
54,The Boogeyman,43244282,3205,Jun 2,Walt Disney Studios Motion Pictures
55,A Haunting in Venice,42471412,3305,Sep 15,Walt Disney Studios Motion Pictures
56,The Creator,40774679,3680,Sep 29,Walt Disney Studios Motion Pictures
57,80 for Brady,39330588,3939,Feb 3,Paramount Pictures
58,The Boy and the Heron,35846555,2325,Dec 8,GKIDS
59,Knock at the Cabin,35397980,3657,Feb 3,Universal Pictures
60,Renaissance: A Film by Beyoncé,33223373,2542,Dec 1,-
61,Missing,32502025,3025,Jan 20,Sony Pictures Entertainment (SPE)
62,Plane,32111181,3060,Jan 13,Lions Gate Films
63,65,32062904,3405,Mar 10,Sony Pictures Entertainment (SPE)
64,Thanksgiving,31800773,3204,Nov 17,TriStar Pictures
65,My Big Fat Greek Wedding 3,28496030,3678,Sep 8,Focus Features
66,Asteroid City,28153025,1901,Jun 16,Focus Features
67,Magic Mike's Last Dance,26005156,3034,Feb 10,Warner Bros.
68,Anyone But You,24837385,3055,Dec 22,Columbia Pictures
69,Strays,23988885,3232,Aug 18,Universal Pictures
70,The Boys in the Boat,22004235,2687,Dec 25,-
71,Priscilla,20864910,2361,Oct 27,A24
72,"Are You There God? It's Me, Margaret.",20372406,3343,Apr 28,Lions Gate Films
73,The Pope's Exorcist,20009380,3178,Apr 14,Screen Gems
74,The Holdovers,18208655,1601,Oct 27,Focus Features
75,The Blackening,17707207,1775,Jun 16,Lions Gate Films
76,Book Club: The Next Chapter,17581565,3513,May 12,Focus Features
77,Pathaan,17487476,697,Jan 25,Yash Raj Films USA Inc.
78,Black Panther: Wakanda Forever,17329414,4396,Nov 11,Walt Disney Studios Motion Pictures
79,Renfield,17297895,3378,Apr 14,Universal Pictures
80,The Blind,17265487,1715,Sep 28,Fathom Events
81,The Covenant,16938039,2631,Apr 21,Metro-Goldwyn-Mayer (MGM)
82,Expend4bles,16710153,3518,Sep 22,Lions Gate Films
83,Champions,16397335,3039,Mar 10,Focus Features
84,The Iron Claw,15964922,2794,Dec 22,A24
85,Ruby Gillman: Teenage Kraken,15753600,3408,Jun 30,DreamWorks
86,Jawan,15198530,826,Sep 7,Yash Raj Films USA Inc.
87,Titanic25 Year Anniversary,15033795,2464,Feb 10,Paramount Pictures
88,Dumb Money,13925356,2837,Sep 15,Sony Pictures Entertainment (SPE)
89,Animal,13647140,698,Dec 1,-
90,The Last Voyage of the Demeter,13637180,2715,Aug 11,Universal Pictures
91,Joy Ride,12897789,2820,Jul 7,Lions Gate Films
92,His Only Son,12392740,1930,Mar 31,Angel Studios
93,The Whale,12269350,1721,Dec 9,A24
94,About My Father,12089391,2464,May 26,Lions Gate Films
95,Bottoms,12036071,1265,Aug 25,Orion Pictures
96,The Shift,11925234,2450,Dec 1,Angel Studios
97,After Death,11477621,2730,Oct 27,Angel Studios
98,Saltburn,11256512,1566,Nov 17,Warner Bros.
99,Suzume,10932037,2170,Apr 14,Crunchyroll
100,Past Lives,10923569,906,Jun 2,A24
101,Ferrari,10778480,2386,Dec 25,Neon
102,The Machine,10458331,2409,May 26,Sony Pictures Entertainment (SPE)
103,Whitney Houston: I Wanna Dance with Somebody,10451167,3625,Dec 23,TriStar Pictures
104,Poor Things,10269036,800,Dec 8,Searchlight Pictures
105,The Nightmare Before Christmas30th Anniversary Re-Release,10251956,2185,Oct 20,Walt Disney Studios Motion Pictures
106,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,1774,Mar 3,Crunchyroll
107,House Party,9002247,1400,Jan 13,Warner Bros.
108,Radical,8636299,534,Nov 3,Pantelion Films
109,Everything Everywhere All at Once,8410284,2220,Mar 25,A24
110,Salaar,8268074,802,Dec 22,-
111,Silent Night,7996185,1873,Dec 1,Lions Gate Films
112,Beau Is Afraid,7740323,2125,Apr 14,A24
113,The Hill,7665865,1703,Aug 25,Briarcliff Entertainment
114,Sisu,7265622,1006,Apr 28,Lions Gate Films
115,Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,475,Apr 28,-
116,Dunki,7160815,650,Dec 21,Yash Raj Films USA Inc.
117,Coraline2023 Re-release (remastered),7149366,1469,Aug 14,-
118,Retribution,6937696,1750,Aug 25,Roadside Attractions
119,Journey to Bethlehem,6816475,2002,Nov 10,Affirm Films
120,Next Goal Wins,6713826,2240,Nov 17,Searchlight Pictures
121,Operation Fortune: Ruse de Guerre,6496125,2168,Mar 3,Lions Gate Films
122,BTS: Yet to Come in Cinemas,6350496,1210,Feb 1,Trafalgar Releasing
123,Babylon,6268558,3351,Dec 23,Paramount Pictures
124,Love Again,6230837,2703,May 5,Screen Gems
125,Dream Scenario,5615011,1578,Nov 10,A24
126,The Fabelmans,5541550,1962,Nov 11,Universal Pictures
127,The Chosen Season 3 Finale,5525069,1979,Feb 2,Fathom Events
128,Nefarious,5433685,933,Apr 14,Soli Deo Gloria Releasing
129,Big George Foreman,5426772,3054,Apr 28,Sony Pictures Entertainment (SPE)
130,Waitress: The Musical,5402148,1214,Dec 7,Bleecker Street Media
131,Tiger 3,5365263,779,Nov 11,Yash Raj Films USA Inc.
132,Women Talking,5321627,707,Dec 23,United Artists Releasing
133,Freelance,5314136,2057,Oct 27,Relativity Media
134,Infinity Pool,5078400,1835,Jan 27,Neon
135,Hocus Pocus30th Anniversary re-release,4929004,1430,Oct 6,Walt Disney Studios Motion Pictures
136,You Hurt My Feelings,4830788,912,May 26,A24
137,Kandahar,4813132,2105,May 26,Open Road Films (II)
138,Golda,4801781,883,Aug 25,Bleecker Street Media
139,It Lives Inside,4675092,2005,Sep 22,Neon
140,Hypnotic,4500169,2118,May 12,Ketchup Entertainment
141,Stop Making Sense2023 Re-release,4403500,786,Sep 22,-
142,Marlowe,4350243,2281,Feb 15,Open Road Films (II)
143,The Amazing Maurice,4303645,1717,Feb 3,Viva Pictures
144,Mummies,4275970,384,Feb 24,Warner Bros.
145,Theater Camp,4009945,555,Jul 14,Searchlight Pictures
146,Ponniyin Selvan: Part Two,3813000,0,Apr 28,-
147,Anatomy of a Fall,3742039,583,Oct 13,-
148,Left Behind: Rise of the Antichrist,3649422,1407,Jan 26,Fathom Events
149,The Journey: A Music Special from Andrea Bocelli,3574915,1074,Apr 2,Fathom Events
150,Chevalier,3541159,1281,Apr 21,Walt Disney Studios Motion Pictures
151,Mafia Mamma,3496761,2002,Apr 14,Bleecker Street Media
152,The Wandering Earth II,3444487,172,Jan 22,Well Go USA Entertainment
153,A Thousand and One,3400020,926,Mar 31,Focus Features
154,Violent Night,3278955,3723,Dec 2,Universal Pictures
155,What Happens Later,3273895,1492,Nov 3,Bleecker Street Media
156,2023 Oscar Nominated Short Films: Live Action,3025631,357,Feb 17,ShortsTV
157,Living,2984305,644,Dec 23,Sony Pictures Classics
158,Jurassic Park2023 Re-release (30th Anniversary),2970355,1224,Aug 25,Universal Pictures
159,The Menu,2779574,3228,Nov 18,Searchlight Pictures
160,Tu Jhoothi Main Makkaar,2503604,400,Mar 8,Yash Raj Films USA Inc.
161,Come Out in Jesus Name,2500574,1047,Mar 13,Fathom Events
162,The Miracle Club,2377438,677,Jul 14,Sony Pictures Entertainment (SPE)
163,A Good Person,2210465,687,Mar 24,United Artists Releasing
164,Moving On,2136832,794,Mar 17,Roadside Attractions
165,Skinamarink,2052272,809,Jan 13,IFC Films
166,Die Hard2023 Re-release,2048453,1355,Dec 8,Twenty First Century Entertainment
167,Jules,1924922,780,Aug 11,Bleecker Street Media
168,Somewhere in Queens,1802442,602,Apr 21,Roadside Attractions
169,The Marsh King's Daughter,1792905,1055,Nov 3,Lions Gate Films
170,Oldboy2023 Re-release,1750719,250,Aug 16,-
171,Winnie the Pooh: Blood and Honey,1750639,1652,Feb 15,Fathom Events
172,Fear,1735359,974,Jan 27,Hidden Empire Film Group (HEFG)
173,Lost in the Stars,1721446,0,Jul 7,CMC Pictures
174,Creation of the Gods I: Kingdom of Storms,1686246,115,Sep 22,Well Go USA Entertainment
175,American Fiction,1655483,114,Dec 15,Metro-Goldwyn-Mayer (MGM)
176,Polite Society,1595585,927,Apr 28,Focus Features
177,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,1473,Jan 20,Crunchyroll
178,The Banshees of Inisherin,1555301,1205,Oct 21,Searchlight Pictures
179,The Quiet Girl,1500014,244,Feb 24,Neon
180,BlackBerry,1476598,449,May 12,IFC Films
181,Spirited Away2023 Re-release (Live on Stage),1455081,1046,Apr 23,Fathom Events
182,Dicks: The Musical,1453012,635,Oct 6,A24
183,Eileen,1425273,558,Dec 1,-
184,Maybe I Do,1293722,465,Jan 27,Vertical Entertainment
185,The First Slam Dunk,1291869,581,Jul 28,GKIDS
186,Billie Eilish Live at the O2,1290000,600,Jan 27,Trafalgar Releasing
187,The Big Lebowski,1266945,1235,Mar 6,Gramercy Pictures (I)
188,Back to the Future,1240710,1550,Jul 3,Universal Pictures
189,Tár,1193875,1090,Oct 7,Focus Features
190,The Lost King,1189307,753,Mar 24,IFC Films
191,The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1176085,1107,Apr 13,Fathom Events
192,Camp Hideout,1125010,848,Sep 15,Roadside Attractions
193,Strange World,1120039,4174,Nov 23,Walt Disney Studios Motion Pictures
194,Close,1100113,233,Jan 27,A24
195,Emily,1097067,579,Feb 17,Bleecker Street Media
196,Knights of the Zodiac,1090155,588,May 12,-
197,Broker,1001892,271,Dec 23,Neon
198,Showing Up,972074,115,Apr 7,A24
199,Inside,918415,357,Mar 17,Focus Features
200,The Roundup: No Way Out,909411,41,Jun 2,Capelight Pictures
